date,grade8price,grade9price,grade10price,adjclosestock,volume,adjclosebond,stockreturns,bondadjusted,excessreturns
2019-09-01,295.0,358.51666666666665,1084.0,2976.739990234375,74178980000,2.121000051498413,0.0171811779310206,0.0212100005149841,-0.0594685787670588
2019-10-01,295.0,358.51666666666665,649.7061111111111,3037.56005859375,77720640000,2.1760001182556152,0.020431770513684,0.0217600011825561,-0.0054994248761257
2019-11-01,295.0,358.51666666666665,543.1,3140.97998046875,72410620000,2.20199990272522,0.0340470377144999,0.0220199990272522,0.0220986080009724
2019-12-01,295.0,308.3333333333333,482.5192307692308,3230.780029296875,72325540000,2.388999938964844,0.02858981890573,0.0238899993896484,-0.0563329987602427
2020-01-01,295.0,305.76,499.8988888888889,3225.52001953125,77287980000,2.015000104904175,-0.0016280928190489,0.0201500010490417,0.1549226998204533
2020-02-01,295.0,237.5,496.6771428571428,2954.219970703125,84436590000,1.6710000038146973,-0.0841104836384031,0.0167100000381469,0.0866091606197972
2020-03-01,295.0,292.18625,511.198,2584.590087890625,162185380000,1.35099995136261,-0.1251192824089282,0.013509999513626,0.0663828430976934
2020-04-01,225.0,355.885,612.9273333333333,2912.429931640625,123608160000,1.2660000324249268,0.1268440381652789,0.0126600003242492,0.1897603386817613
2020-05-01,225.0,416.55555555555554,837.4433333333334,3044.31005859375,107135190000,1.406999945640564,0.0452818196655582,0.0140699994564056,-0.0660925165147992
2020-06-01,225.0,537.3154545454546,1126.826896551724,3100.2900390625,131458880000,1.409000039100647,0.0183883965139242,0.0140900003910064,0.0169668659258952
2020-07-01,530.0,785.3636363636364,1546.5551162790696,3271.1201171875,96928130000,1.1979999542236328,0.0551013214804436,0.0119799995422363,0.2048529744411446
2020-08-01,405.0,659.23,1343.7369047619047,3500.31005859375,82466520000,1.4520000219345093,0.0700646669017177,0.014520000219345,-0.1419554311086213
2020-09-01,483.0,656.9412,1315.735,3363.0,92310780000,1.4509999752044678,-0.039227970178423,0.0145099997520446,-0.0385392327714434
2020-10-01,500.0,693.4165384615385,1444.0313461538462,3269.9599609375,89938980000,1.6399999856948853,-0.0276657862213797,0.0163999998569488,-0.1579207922311384
2020-11-01,426.424,606.7025,1227.3357575757575,3621.6298828125,101247180000,1.5729999542236328,0.107545635443859,0.0157299995422363,0.1483993135265843
2020-12-01,395.0,480.832,1057.9989655172417,3756.070068359375,96375680000,1.6460000276565552,0.03712145909357,0.0164600002765655,-0.0092867262575555
2021-01-01,441.8,588.0538709677419,1216.130612244898,3714.239990234375,106117800000,1.8580000400543213,-0.0111366607554451,0.0185800004005432,-0.1399337499630285
2021-02-01,505.0,633.4196774193548,1511.2018181818182,3811.14990234375,99082320000,2.181999921798706,0.0260914513774483,0.021819999217987,-0.1482895361143024
2021-03-01,505.0,626.4285714285714,1480.0,3972.889892578125,122371150000,2.424999952316284,0.0424386325331651,0.0242499995231628,-0.0689271049675326
2021-04-01,505.0,626.4285714285714,1480.0,4181.169921875,83124090000,2.3010001182556152,0.0524253213475585,0.0230100011825561,0.1035592745429917
2021-05-01,505.0,626.4285714285714,1480.0,4204.10986328125,88321860000,2.263000011444092,0.0054864886706069,0.0226300001144409,0.0220010931289201
2021-06-01,505.0,626.4285714285714,1480.0,4297.5,102544180000,2.065000057220459,0.0222140095658347,0.0206500005722045,0.109708465254009
2021-07-01,362.5,433.7,930.854,4395.259765625,84255620000,1.8969999551773071,0.0227480548283887,0.018969999551773,0.1041040341930014
2021-08-01,362.5,427.42266666666666,990.8990476190476,4522.68017578125,80500760000,1.9270000457763672,0.0289904162554386,0.0192700004577636,0.0131759242639213
2021-09-01,284.995,410.665,876.8883333333333,4307.5400390625,85528860000,2.0920000076293945,-0.047569168801901,0.0209200000762939,-0.1331944713101585
2021-10-01,208.75,331.8888888888889,858.7685714285715,4605.3798828125,80253600000,1.9420000314712524,0.0691438364006065,0.0194200003147125,0.1408455455837334
2021-11-01,264.0,358.6027272727273,838.0422222222222,4567.0,88268840000,1.7869999408721924,-0.0083337061847461,0.0178699994087219,0.0714809632731282
2021-12-01,300.0,355.6363636363636,799.6923076923077,4766.18017578125,92750180000,1.9049999713897705,0.0436129134620648,0.0190499997138977,-0.0224195624315746
2022-01-01,265.32,379.39818181818185,825.625,4515.5498046875,95562890000,2.0980000495910645,-0.0525851650273938,0.0209800004959106,-0.1538975435575063
2022-02-01,1580.0,365.0,932.5,4373.93994140625,92667710000,2.181999921798706,-0.0313604919459082,0.021819999217987,-0.0713985616418622
2022-03-01,1580.0,365.0,932.5,4530.41015625,123546260000,2.447999954223633,0.0357732883715462,0.0244799995422363,-0.0861332386486988
2022-04-01,1580.0,365.0,932.5,4131.93017578125,90367840000,2.947000026702881,-0.087956711804343,0.0294700002670288,-0.2917966145046283
2022-05-01,1580.0,364.5,750.0,4132.14990234375,108860390000,3.056999921798706,5.317770464463578e-05,0.030569999217987,-0.0372728806934252
2022-06-01,49.0,364.5,773.3333333333334,3785.3798828125,106116710000,3.11899995803833,-0.0839199999338268,0.0311899995803833,-0.1042013338643635
2022-07-01,49.0,364.5,773.3333333333334,4130.2900390625,81688320000,2.9739999771118164,0.09111639173021,0.0297399997711181,0.137605645618405
2022-08-01,49.0,364.5,773.3333333333334,3955.0,92252350000,3.255000114440918,-0.0424401282729983,0.0325500011444091,-0.1369257165351721
2022-09-01,210.0,290.0,882.2614285714286,3585.6201171875,94241020000,3.765000104904175,-0.0933956720132743,0.0376500010490417,-0.2500776912244641
2022-10-01,200.875,310.60714285714283,731.7718181818182,3871.97998046875,95823760000,4.203999996185303,0.0798634138370089,0.042039999961853,-0.0367368196422148
2022-11-01,200.875,308.95500000000004,706.6666666666666,4080.110107421875,92671910000,3.822000026702881,0.0537528933524931,0.0382200002670288,0.1446187282309536
2022-12-01,200.875,308.95500000000004,706.6666666666666,3839.5,85249330000,3.974999904632568,-0.0589714740747304,0.0397499990463256,-0.0990028390304433
2023-01-01,261.0,326.1111111111111,705.1853333333333,4076.60009765625,80763810000,3.66100001335144,0.0617528578346791,0.0366100001335144,0.1407465430710445
2023-02-01,261.0,326.1111111111111,705.1853333333333,3970.14990234375,80392280000,3.930999994277954,-0.0261124939318185,0.0393099999427795,-0.09986282988971
2023-03-01,203.19,313.775,670.5885714285714,4109.31005859375,113094800000,3.688999891281128,0.0350516125771089,0.0368899989128112,0.096613582393717
2023-04-01,286.14,353.7125,745.7175,4169.47998046875,70861260000,3.677999973297119,0.014642341662481,0.0367799997329711,0.0176241574142262
